Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
19,129,40020,,12.447914898114982,,5.038584782608695,,12.390874999999998,,7.9526601226776155,,0.00044259734646750007,,0.06550375124999999,,10.499999999999998,,260.8656765641311
20,136,40027,,12.447914898114982,,5.038584782608695,,12.390874999999998,,7.9526601226776155,,0.00044259734646750007,,0.06550375124999999,,10.499999999999998,,260.8656765641311
21,143,40034,,12.447914898114982,,5.038584782608695,,12.390874999999998,,7.9526601226776155,,0.00044259734646750007,,0.06550375124999999,,10.499999999999998,,260.8656765641311
22,150,40041,,12.447914898114982,,5.038584782608695,,12.390874999999998,,7.9526601226776155,,0.00044259734646750007,,0.06550375124999999,,10.499999999999998,,260.8656765641311
23,157,40048,,12.447914898114982,,5.038584782608695,,12.390874999999998,,7.9526601226776155,,0.00044259734646750007,,0.06550375124999999,,10.499999999999998,,260.8656765641311
24,164,40055,,12.447914898114982,,5.038584782608695,,12.390874999999998,,7.9526601226776155,,0.00044259734646750007,,0.06550375124999999,,10.499999999999998,,260.8656765641311
25,171,40062,,12.447914898114982,,5.038584782608695,,12.390874999999998,,7.9526601226776155,,0.00044259734646750007,,0.06550375124999999,,10.499999999999998,,260.8656765641311
26,178,40069,,12.447914898114982,,5.038584782608695,,12.390874999999998,,7.9526601226776155,,0.00044259734646750007,,0.06550375124999999,,10.499999999999998,,260.8656765641311
27,185,40076,,13.694261263291075,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,280.056392056355
28,192,40083,,13.901985657487092,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,281.1054002470449
29,199,40090,,13.901985657487092,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,281.1054002470449
30,206,40097,,13.901985657487092,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,281.1054002470449
31,213,40104,,12.314625078505868,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,273.08922932318967
32,220,40111,,12.314625078505868,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,273.08922932318967
33,227,40118,,12.314625078505868,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,273.08922932318967
34,234,40125,,12.314625078505868,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,273.08922932318967
35,241,40132,,12.314625078505868,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,273.08922932318967
36,248,40139,,12.314625078505868,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,273.08922932318967
37,255,40146,,12.314625078505868,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,273.08922932318967
38,262,40153,,12.314625078505868,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,273.08922932318967
39,269,40160,,12.314625078505868,,5.038584782608695,,13.640374999999997,,8.754609042611492,,0.0004872290116574999,,0.06550375124999999,,10.499999999999998,,273.08922932318967
40,276,40167,,9.164471063765495,,5.038584782608695,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,264.54722391580384
41,283,40174,,9.164471063765495,,5.038584782608695,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,264.54722391580384
42,290,40181,,9.164471063765495,,5.038584782608695,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,264.54722391580384
43,297,40188,,9.164471063765495,,5.038584782608695,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,264.54722391580384
44,304,40195,,9.164471063765495,,5.038584782608695,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,264.54722391580384
45,311,40202,,9.164471063765495,,5.038584782608695,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,264.54722391580384
46,318,40209,,9.164471063765495,,5.038584782608695,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,264.54722391580384
47,325,40216,,6.380448264742836,,5.038584782608695,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,250.48790878073942
48,332,40223,,7.452281913136029,,2.299454347826086,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,233.76849479208153
49,339,40230,,7.630920854534895,,1.8429326086956517,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,230.98192579397193
50,346,40237,,7.630920854534895,,1.8429326086956517,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,230.98192579397193
51,353,40244,,7.630920854534895,,1.8429326086956517,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,230.98192579397193
52,360,40251,,7.630920854534895,,1.8429326086956517,,14.354059999999999,,9.212663396291369,,0.0005127215686571999,,0.06550375124999999,,10.499999999999998,,230.98192579397193
